,ER(N h-1),SR(mmWE h-1),V_H(cm d-1)
2019-08-01 00:00:00,4.0,,
2019-08-01 00:15:00,0.0,,
2019-08-01 00:30:00,0.0,,
2019-08-01 00:45:00,0.0,,
2019-08-01 01:00:00,0.0,,
2019-08-01 01:15:00,0.0,,
2019-08-01 01:30:00,0.0,,
2019-08-01 01:45:00,0.0,,
2019-08-01 02:00:00,0.0,,
2019-08-01 02:15:00,0.0,,
2019-08-01 02:30:00,0.0,,
2019-08-01 02:45:00,0.0,,
2019-08-01 03:00:00,0.0,,
2019-08-01 03:15:00,0.0,,
2019-08-01 03:30:00,0.0,,
2019-08-01 03:45:00,0.0,,
2019-08-01 04:00:00,0.0,,
2019-08-01 04:15:00,0.0,,
2019-08-01 04:30:00,0.0,,
2019-08-01 04:45:00,0.0,,
2019-08-01 05:00:00,0.0,,
2019-08-01 05:15:00,0.0,,
2019-08-01 05:30:00,0.0,,
2019-08-01 05:45:00,0.0,,
2019-08-01 06:00:00,0.0,,
2019-08-01 06:15:00,0.0,,
2019-08-01 06:30:00,0.0,,
2019-08-01 06:45:00,0.0,,
2019-08-01 07:00:00,0.0,,
2019-08-01 07:15:00,0.0,,
2019-08-01 07:30:00,0.0,,
2019-08-01 07:45:00,0.0,,
2019-08-01 08:00:00,0.0,,
2019-08-01 08:15:00,0.0,,
2019-08-01 08:30:00,0.0,,
2019-08-01 08:45:00,0.0,,
2019-08-01 09:00:00,0.0,,
2019-08-01 09:15:00,0.0,,
2019-08-01 09:30:00,0.0,,
2019-08-01 09:45:00,0.0,,
2019-08-01 10:00:00,0.0,,
2019-08-01 10:15:00,0.0,,
2019-08-01 10:30:00,0.0,,
2019-08-01 10:45:00,0.0,,
2019-08-01 11:00:00,0.0,,
2019-08-01 11:15:00,0.0,,
2019-08-01 11:30:00,0.0,,
2019-08-01 11:45:00,0.0,,
2019-08-01 12:00:00,0.0,,
2019-08-01 12:15:00,0.0,,
2019-08-01 12:30:00,0.0,,
2019-08-01 12:45:00,0.0,,
2019-08-01 13:00:00,0.0,,
2019-08-01 13:15:00,0.0,,
2019-08-01 13:30:00,0.0,1.74976085340427,
2019-08-01 13:45:00,0.0,1.7974662408790794,
2019-08-01 14:00:00,0.0,1.845171628353889,
2019-08-01 14:15:00,0.0,1.860451665352468,
2019-08-01 14:30:00,0.0,1.875731702351047,
2019-08-01 14:45:00,0.0,1.9111592238953827,
2019-08-01 15:00:00,0.0,1.9465867454397183,
2019-08-01 15:15:00,0.0,2.041300623222171,
2019-08-01 15:30:00,0.0,2.1360145010046234,
2019-08-01 15:45:00,0.0,2.1983418653085725,
2019-08-01 16:00:00,0.0,2.260669229612521,
2019-08-01 16:15:00,0.0,2.32265374377202,
2019-08-01 16:30:00,0.0,2.384638257931518,
2019-08-01 16:45:00,0.0,2.4970319515285295,
2019-08-01 17:00:00,0.0,2.6094256451255404,
2019-08-01 17:15:00,0.0,2.679633984642621,
2019-08-01 17:30:00,0.0,2.749842324159702,
2019-08-01 17:45:00,0.0,2.7935031478362724,
2019-08-01 18:00:00,0.0,2.8371639715128434,
2019-08-01 18:15:00,0.0,2.952980322298058,
2019-08-01 18:30:00,0.0,3.068796673083273,
2019-08-01 18:45:00,0.0,3.1689894064358115,
2019-08-01 19:00:00,0.0,3.26918213978835,
2019-08-01 19:15:00,0.0,3.302372643381335,
2019-08-01 19:30:00,0.0,3.33556314697432,
2019-08-01 19:45:00,0.0,3.400838237037068,
2019-08-01 20:00:00,0.0,3.466113327099816,
2019-08-01 20:15:00,0.0,3.4982392879477,
2019-08-01 20:30:00,0.0,3.5303652487955834,
2019-08-01 20:45:00,0.0,3.5154495543992255,
2019-08-01 21:00:00,0.0,3.5005338600028675,
2019-08-01 21:15:00,0.0,3.497218816087666,
