set,T0,T1,h0,h1,phase,srate,pres,clen,rerate,derate,crack_seis,sdep
a,2019-08-08T04,2019-08-08T10,"04:00","10:00",0,1.5,1.0,0.25,0,4,True,4
a,2019-08-08T10,2019-08-08T16,"10:00","16:00",1,2,1.0,0.50,3,6,False,4
a,2019-08-08T16,2019-08-08T22,"16:00","22:00",2,1.5,0.9,0.666,3,1,False,2
a,2019-08-08T22,2019-08-09T04,"22:00","04:00",3,1,0.5,0.50,0,3,False,1
n,2019-08-08T04,2019-08-08T05,"04:00","05:00",0,1,0.5,0.333,,,,0
n,2019-08-08T05,2019-08-08T11,"05:00","10:00",0,3,1.0,0.333,,,,4
n,2019-08-08T10,2019-08-08T16,"10:00","16:00",1,3,1.0,0.666,,,,4
n,2019-08-08T16,2019-08-08T21,"16:00","21:00",2,2,0.9,0.750,,,,2
n,2019-08-08T21,2019-08-09T05,"21:00","05:00",3,1,0.5,0.666,,,,1
b,2019-08-11T05,2019-08-11T16,"05:00","10:00",1,2,1.0,0.500,,,,2
b,2019-08-11T05,2019-08-11T16,"05:00","10:00",1,2,1.0,0.500,,,,2
b,2019-08-11T05,2019-08-12T05,"05:00","10:00",4,1,0.5,0.500,,,,1
